,start,finish,duration
201,9573.0,9619.0,46.0
202,9576.0,9637.0,61.0
203,9676.0,9724.0,48.0
204,9678.0,9741.0,63.0
205,9764.0,9824.0,60.0
206,9778.0,9827.0,49.0
207,9905.0,9952.0,47.0
208,9991.0,10040.0,49.0
209,10009.0,10062.0,53.0
210,10013.0,10080.0,67.0
211,10026.0,10091.0,65.0
212,10115.0,10160.0,45.0
213,10125.0,10188.0,63.0
214,10160.0,10210.0,50.0
215,10176.0,10237.0,61.0
216,10204.0,10265.0,61.0
217,10222.0,10283.0,61.0
218,10237.0,10297.0,60.0
219,10335.0,10386.0,51.0
220,10340.0,10403.0,63.0
221,10432.0,10475.0,43.0
222,10573.0,10616.0,43.0
223,10665.0,10712.0,47.0
224,10728.0,10784.0,56.0
225,10769.0,10822.0,53.0
226,10793.0,10842.0,49.0
227,10820.0,10873.0,53.0
228,10838.0,10893.0,55.0
229,10847.0,10908.0,61.0
230,10933.0,10978.0,45.0
231,10937.0,11008.0,71.0
232,10951.0,11028.0,77.0
233,10975.0,11044.0,69.0
234,11024.0,11071.0,47.0
235,11030.0,11095.0,65.0
236,11058.0,11114.0,56.0
237,11157.0,11205.0,48.0
238,11179.0,11229.0,50.0
239,11181.0,11249.0,68.0
240,11309.0,11349.0,40.0
241,11413.0,11457.0,44.0
242,11528.0,11583.0,55.0
243,11539.0,11593.0,54.0
244,11592.0,11632.0,40.0
245,11632.0,11675.0,43.0
246,11679.0,11722.0,43.0
247,11719.0,11777.0,58.0
248,11729.0,11795.0,66.0
249,11731.0,11799.0,68.0
250,11755.0,11829.0,74.0
251,11791.0,11846.0,55.0
252,11943.0,11983.0,40.0
253,11986.0,12038.0,52.0
254,11995.0,12052.0,57.0
255,12013.0,12076.0,63.0
256,12152.0,12192.0,40.0
257,12203.0,12250.0,47.0
258,12205.0,12272.0,67.0
259,12246.0,12291.0,45.0
260,12297.0,12342.0,45.0
261,12321.0,12374.0,53.0
262,12359.0,12414.0,55.0
263,12386.0,12434.0,48.0
264,12528.0,12570.0,42.0
265,12533.0,12605.0,72.0
266,12547.0,12613.0,66.0
267,12572.0,12641.0,69.0
268,12622.0,12674.0,52.0
269,12647.0,12702.0,55.0
270,12662.0,12719.0,57.0
271,12726.0,12773.0,47.0
272,12793.0,12843.0,50.0
273,12887.0,12937.0,50.0
274,12900.0,12957.0,57.0
275,12911.0,12975.0,64.0
276,12974.0,13019.0,45.0
277,12986.0,13037.0,51.0
278,13004.0,13064.0,60.0
279,13006.0,13075.0,69.0
280,13148.0,13188.0,40.0
281,13204.0,13261.0,57.0
282,13207.0,13273.0,66.0
283,13216.0,13295.0,79.0
284,13218.0,13304.0,86.0
285,13293.0,13346.0,53.0
286,13321.0,13368.0,47.0
287,13360.0,13419.0,59.0
288,13364.0,13429.0,65.0
289,13390.0,13447.0,57.0
290,13444.0,13487.0,43.0
291,13526.0,13582.0,56.0
292,13549.0,13611.0,62.0
293,13582.0,13634.0,52.0
294,13645.0,13692.0,47.0
295,13670.0,13726.0,56.0
296,13699.0,13746.0,47.0
297,13719.0,13772.0,53.0
298,13774.0,13821.0,47.0
299,13826.0,13869.0,43.0
300,13886.0,13932.0,46.0
301,13888.0,13956.0,68.0
302,13926.0,13973.0,47.0
303,14181.0,14228.0,47.0
304,14195.0,14239.0,44.0
305,14239.0,14284.0,45.0
306,14263.0,14321.0,58.0
307,14294.0,14345.0,51.0
308,14310.0,14363.0,53.0
309,14435.0,14478.0,43.0
310,14607.0,14658.0,51.0
311,14633.0,14686.0,53.0
312,14635.0,14701.0,66.0
313,14743.0,14787.0,44.0
314,14794.0,14838.0,44.0
315,14862.0,14909.0,47.0
316,14935.0,14983.0,48.0
317,14956.0,15005.0,49.0
318,14984.0,15033.0,49.0
319,15071.0,15121.0,50.0
320,15093.0,15139.0,46.0
321,15157.0,15200.0,43.0
322,15208.0,15255.0,47.0
323,15302.0,15345.0,43.0
324,15369.0,15428.0,59.0
325,15371.0,15438.0,67.0
326,15376.0,15458.0,82.0
327,15385.0,15474.0,89.0
328,15442.0,15498.0,56.0
329,15470.0,15517.0,47.0
330,15472.0,15531.0,59.0
331,15564.0,15611.0,47.0
332,15658.0,15708.0,50.0
333,15720.0,15763.0,43.0
334,15791.0,15850.0,59.0
335,15793.0,15861.0,68.0
336,15819.0,15878.0,59.0
337,15833.0,15901.0,68.0
338,15852.0,15917.0,65.0
339,15894.0,15947.0,53.0
340,15944.0,15987.0,43.0
341,15948.0,16014.0,66.0
342,16003.0,16051.0,48.0
343,16005.0,16074.0,69.0
344,16010.0,16091.0,81.0
345,16020.0,16110.0,90.0
346,16056.0,16130.0,74.0
347,16100.0,16148.0,48.0
348,16181.0,16221.0,40.0
349,16229.0,16273.0,44.0
350,16334.0,16378.0,44.0
351,16462.0,16514.0,52.0
352,16474.0,16533.0,59.0
353,16504.0,16557.0,53.0
354,16530.0,16581.0,51.0
355,16538.0,16595.0,57.0
356,16687.0,16737.0,50.0
357,16763.0,16806.0,43.0
358,16882.0,16929.0,47.0
359,16900.0,16953.0,53.0
360,16917.0,16975.0,58.0
361,17052.0,17100.0,48.0
362,17054.0,17116.0,62.0
363,17123.0,17170.0,47.0
364,17187.0,17235.0,48.0
365,17219.0,17273.0,54.0
366,17221.0,17296.0,75.0
367,17233.0,17303.0,70.0
368,17246.0,17317.0,71.0
369,17341.0,17386.0,45.0
370,17379.0,17433.0,54.0
371,17381.0,17445.0,64.0
372,17468.0,17518.0,50.0
373,17485.0,17538.0,53.0
374,17571.0,17621.0,50.0
375,17584.0,17645.0,61.0
376,17616.0,17677.0,61.0
377,17632.0,17689.0,57.0
378,17659.0,17709.0,50.0
379,17661.0,17740.0,79.0
380,17685.0,17748.0,63.0
381,17687.0,17765.0,78.0
382,17737.0,17789.0,52.0
383,17780.0,17827.0,47.0
384,17791.0,17853.0,62.0
385,17852.0,17899.0,47.0
386,17889.0,17936.0,47.0
387,17940.0,17992.0,52.0
388,17962.0,18009.0,47.0
389,18009.0,18054.0,45.0
390,18019.0,18071.0,52.0
391,18093.0,18140.0,47.0
392,18169.0,18219.0,50.0
393,18212.0,18257.0,45.0
394,18218.0,18271.0,53.0
395,18295.0,18347.0,52.0
396,18306.0,18367.0,61.0
397,18309.0,18388.0,79.0
398,18311.0,18405.0,94.0
399,18344.0,18422.0,78.0
400,18456.0,18497.0,41.0
401,18490.0,18533.0,43.0
402,18551.0,18598.0,47.0
403,18556.0,18615.0,59.0
404,18572.0,18633.0,61.0
405,18708.0,18751.0,43.0
406,18871.0,18918.0,47.0
407,19094.0,19137.0,43.0
408,19143.0,19188.0,45.0
409,19169.0,19223.0,54.0
410,19197.0,19244.0,47.0
411,19253.0,19300.0,47.0
412,19301.0,19341.0,40.0
413,19354.0,19411.0,57.0
414,19356.0,19426.0,70.0
415,19360.0,19438.0,78.0
416,19395.0,19456.0,61.0
417,19414.0,19474.0,60.0
418,19505.0,19552.0,47.0
419,19562.0,19608.0,46.0
420,19571.0,19632.0,61.0
421,19574.0,19644.0,70.0
422,19615.0,19666.0,51.0
423,19701.0,19748.0,47.0
424,19742.0,19782.0,40.0
425,19839.0,19887.0,48.0
426,19848.0,19902.0,54.0
427,19850.0,19912.0,62.0
428,19974.0,20024.0,50.0
429,20093.0,20140.0,47.0
430,20102.0,20162.0,60.0
431,20131.0,20194.0,63.0
432,20133.0,20214.0,81.0
433,20135.0,20218.0,83.0
434,20144.0,20244.0,100.0
435,20153.0,20247.0,94.0
436,20299.0,20341.0,42.0
437,20307.0,20370.0,63.0
438,20313.0,20385.0,72.0
439,20346.0,20410.0,64.0
440,20366.0,20431.0,65.0
441,20400.0,20457.0,57.0
442,20402.0,20476.0,74.0
443,20548.0,20591.0,43.0
444,20628.0,20673.0,45.0
445,20641.0,20694.0,53.0
446,20719.0,20764.0,45.0
447,20754.0,20798.0,44.0
448,20802.0,20850.0,48.0
449,20816.0,20867.0,51.0
450,20919.0,20965.0,46.0
451,20938.0,21004.0,66.0
452,20944.0,21011.0,67.0
453,20959.0,21035.0,76.0
454,20972.0,21057.0,85.0
455,20997.0,21064.0,67.0
456,21025.0,21086.0,61.0
457,21075.0,21123.0,48.0
458,21159.0,21209.0,50.0
459,21167.0,21227.0,60.0
460,21324.0,21374.0,50.0
461,21326.0,21399.0,73.0
462,21369.0,21426.0,57.0
463,21388.0,21436.0,48.0
464,21458.0,21508.0,50.0
465,21577.0,21624.0,47.0
466,21584.0,21642.0,58.0
467,21646.0,21696.0,50.0
468,21678.0,21728.0,50.0
469,21698.0,21757.0,59.0
470,21704.0,21768.0,64.0
471,21711.0,21785.0,74.0
