,start,finish,duration
202,8865.0,8913.0,48.0
203,8965.0,9015.0,50.0
204,8967.0,9017.0,50.0
205,9053.0,9101.0,48.0
206,9067.0,9111.0,44.0
207,9194.0,9237.0,43.0
208,9280.0,9339.0,59.0
209,9298.0,9348.0,50.0
210,9306.0,9354.0,48.0
211,9492.0,9545.0,53.0
212,9522.0,9567.0,45.0
213,9664.0,9717.0,53.0
214,9694.0,9740.0,46.0
215,9752.0,9818.0,66.0
216,9769.0,9825.0,56.0
217,9787.0,9840.0,53.0
218,9789.0,9841.0,52.0
219,9916.0,9967.0,51.0
220,9921.0,9968.0,47.0
221,10013.0,10056.0,43.0
222,10154.0,10197.0,43.0
223,10246.0,10289.0,43.0
224,10309.0,10352.0,43.0
225,10350.0,10398.0,48.0
226,10374.0,10445.0,71.0
227,10401.0,10465.0,64.0
228,10403.0,10468.0,65.0
229,10406.0,10470.0,64.0
230,10441.0,10501.0,60.0
231,10474.0,10537.0,63.0
232,10476.0,10542.0,66.0
233,10482.0,10546.0,64.0
234,10499.0,10549.0,50.0
235,10556.0,10599.0,43.0
236,10643.0,10689.0,46.0
237,10672.0,10721.0,49.0
238,10726.0,10769.0,43.0
239,10794.0,10849.0,55.0
240,10798.0,10849.0,51.0
241,10820.0,10863.0,43.0
242,10853.0,10901.0,48.0
243,10875.0,10928.0,53.0
244,10907.0,10957.0,50.0
245,10946.0,10989.0,43.0
246,10994.0,11041.0,47.0
247,11034.0,11087.0,53.0
248,11044.0,11100.0,56.0
249,11056.0,11101.0,45.0
250,11110.0,11163.0,53.0
251,11139.0,11185.0,46.0
252,11191.0,11234.0,43.0
253,11234.0,11287.0,53.0
254,11243.0,11289.0,46.0
255,11290.0,11333.0,43.0
256,11370.0,11413.0,43.0
257,11421.0,11469.0,48.0
258,11423.0,11471.0,48.0
259,11464.0,11510.0,46.0
260,11492.0,11548.0,56.0
261,11520.0,11567.0,47.0
262,11650.0,11693.0,43.0
263,11714.0,11762.0,48.0
264,11729.0,11772.0,43.0
265,11822.0,11875.0,53.0
266,11841.0,11890.0,49.0
267,11843.0,11893.0,50.0
268,11880.0,11927.0,47.0
269,11964.0,12007.0,43.0
270,12036.0,12079.0,43.0
271,12115.0,12158.0,43.0
272,12182.0,12225.0,43.0
273,12276.0,12330.0,54.0
274,12289.0,12353.0,64.0
275,12300.0,12353.0,53.0
276,12314.0,12372.0,58.0
277,12340.0,12387.0,47.0
278,12424.0,12467.0,43.0
279,12521.0,12564.0,43.0
280,12574.0,12617.0,43.0
281,12630.0,12698.0,68.0
282,12633.0,12706.0,73.0
283,12642.0,12707.0,65.0
284,12644.0,12707.0,63.0
285,12719.0,12764.0,45.0
286,12746.0,12797.0,51.0
287,12785.0,12837.0,52.0
288,12789.0,12837.0,48.0
289,12870.0,12913.0,43.0
290,12982.0,13025.0,43.0
291,13064.0,13111.0,47.0
292,13087.0,13143.0,56.0
293,13120.0,13232.0,112.0
294,13127.0,13233.0,106.0
295,13134.0,13234.0,100.0
296,13137.0,13235.0,98.0
297,13140.0,13236.0,96.0
298,13142.0,13237.0,95.0
299,13165.0,13235.0,70.0
300,13246.0,13297.0,51.0
301,13248.0,13299.0,51.0
302,13286.0,13334.0,48.0
303,13316.0,13357.0,41.0
304,13375.0,13423.0,48.0
305,13391.0,13434.0,43.0
306,13522.0,13575.0,53.0
307,13541.0,13588.0,47.0
308,13543.0,13591.0,48.0
309,13627.0,13670.0,43.0
310,13799.0,13854.0,55.0
311,13825.0,13877.0,52.0
312,13827.0,13880.0,53.0
313,13935.0,13978.0,43.0
314,13986.0,14029.0,43.0
315,14054.0,14097.0,43.0
316,14127.0,14175.0,48.0
317,14148.0,14189.0,41.0
318,14254.0,14302.0,48.0
319,14270.0,14323.0,53.0
320,14300.0,14362.0,62.0
